No,Designation,PLL_PipeSpec,S3D_PipeSpec
1,MBA30BR245,G4-B1-C,G1-B1-C
2,MBA30BR250,G4-B1-C,G1-B1-C
3,MBA30BR255,G4-A1-C,G4-A1-B
4,MBA31BR210,G4-D1-D,G4-D1-C
5,MBA81BR016,G4-A1-C,G4-A1-B
6,MBA81BR040,G4-R2-C,G1-A1-A
7,MBA81BR050,G4-R2-C,G4-D1-C
8,MBA81BR060,G4-R2-C,G4-D1-C
9,MBA81BR070,G4-D1-D,G4-D1-C
10,MBH70BR010,G3-D1-B,G3-D1-C
11,MBH70BR020,G3-D1-B,G1-D1-B
12,MBH70BR030,G4-D1-B,G4-D1-C
13,MBH70BR040,G4-D1-B,G4-D1-C
14,MBH20BR001,G4-R2-C,G3-B1-C
15,MBH20BR002,G4-R2-C,G3-B1-C
16,MBH20BR003,G4-R2-C,G3-B1-C
17,MBH20BR005,G4-R2-C,G3-B1-C
18,MBH20BR007,G4-R2-C,G3-B1-C
19,MBH20BR010,G4-R2-C,G3-B1-C
20,MBH20BR011,G4-R2-C,G3-B1-C
21,MBH20BR020,G4-R2-C,G3-B1-C
22,MBH20BR030,G4-R2-C,G3-B1-C
23,MBH30BR010,G4-D1-D,G4-D1-C
24,MBH30BR011,G4-S1-D,G4-S1-C
25,MBH30BR012,G4-S1-D,G4-S1-C
26,MBH30BR014,G4-S1-D,G4-S1-C
27,MBH30BR016,G4-D1-D,G4-D1-C
28,MBH30BR018,G4-S1-D,G4-U1-C
29,MBH30BR020,No spec,G4-U1-C
30,MBH30BR022,G4-D1-D,G4-D1-C
31,MBH30BR025,G4-S1-D,G4-D1-C
32,MBH30BR030,A2-B1-B,A2-B1-A
33,MBH30BR031,A2-B1-B,A2-B1-A
34,MBH40BR011,G2-D2-C,G2-D1-C
35,MBH40BR040,G2-D2-C,G4-B1-C
36,MBH40BR020,G3-D1-B,G3-D1-A
37,MBH40BR021,G3-D1-B,G3-D1-A
38,MBH40BR022,G3-D1-B,G3-D1-A
39,MBH40BR023,G3-D1-B,G3-D1-A
40,MBH40BR025,G3-D1-B,G3-D1-A
41,MBH40BR026,G3-D1-B,G3-D1-A
42,MBH40BR027,G3-D1-B,G3-D1-A
43,MBH40BR030,G3-D1-B,G3-D1-A
44,MBH40BR031,G3-D1-B,G3-T1-C
45,MBH40BR032,G3-D1-B,G3-D1-A
46,MBH40BR033,G3-D1-B,G3-D1-A
47,MBH40BR035,G3-D1-B,G3-D1-A
48,MBH40BR036,G3-D1-B,G3-D1-A
49,MBH40BR037,G3-D1-B,G3-D1-A
50,MBP31BR001,G4-T1,G4-T1-A
51,MBP31BR002,G4-T1,G4-T1-A
52,MBP41BR010,G4-D1-B,G2-D1-C
53,MBP42BR010,G4-D1-B,G2-D1-A
54,MBP43BR010,G4-D1-B,G2-D1-C
55,MBX36BR020,SW-IN-01,A1-A1-A
